2022-03-12	松江	0	1
2022-03-12	闵行	1	10
2022-03-12	宝山	0	3
2022-03-12	青浦	0	0
2022-03-12	奉贤	0	0
2022-03-12	金山	0	4
2022-03-12	崇明	0	0
2022-03-13	普陀	0	6
2022-03-13	黄浦	3	9
2022-03-13	徐汇	4	14
2022-03-13	静安	6	4
2022-03-13	虹口	1	3
2022-03-13	杨浦	0	3
2022-03-13	长宁	1	1
2022-03-13	浦东	7	34
2022-03-13	嘉定	5	14
2022-03-13	松江	1	7
2022-03-13	闵行	9	21
2022-03-13	宝山	0	3
2022-03-13	青浦	2	2
2022-03-13	奉贤	1	1
2022-03-13	金山	1	6
2022-03-13	崇明	0	0
2022-03-14	普陀	0	0
2022-03-14	黄浦	2	21
2022-03-14	徐汇	1	11
2022-03-14	静安	0	6
2022-03-14	虹口	1	3
2022-03-14	杨浦	0	1
2022-03-14	长宁	0	1
2022-03-14	浦东	1	22
2022-03-14	嘉定	0	24
2022-03-14	松江	1	9
2022-03-14	闵行	3	23
2022-03-14	宝山	0	2
2022-03-14	青浦	0	0
2022-03-14	奉贤	0	3
2022-03-14	金山	0	4
2022-03-14	崇明	0	0
2022-03-15	普陀	0	9
2022-03-15	黄浦	0	12
2022-03-15	徐汇	1	23
2022-03-15	静安	0	10
2022-03-15	虹口	0	6
2022-03-15	杨浦	0	2
2022-03-15	长宁	0	4
2022-03-15	浦东	2	40
2022-03-15	嘉定	0	21
2022-03-15	松江	0	10
2022-03-15	闵行	1	30
2022-03-15	宝山	0	11
2022-03-15	青浦	0	7
2022-03-15	奉贤	1	4
2022-03-15	金山	0	8
2022-03-15	崇明	0	0
2022-03-16	普陀	0	4
2022-03-16	黄浦	1	8
2022-03-16	徐汇	2	5
2022-03-16	静安	0	3
2022-03-16	虹口	0	10
2022-03-16	杨浦	0	2
2022-03-16	长宁	0	4
2022-03-16	浦东	0	43
2022-03-16	嘉定	4	36
2022-03-16	松江	0	4
2022-03-16	闵行	1	17
2022-03-16	宝山	0	11
2022-03-16	青浦	0	1
2022-03-16	奉贤	0	2
2022-03-16	金山	0	0
2022-03-16	崇明	0	0
2022-03-17	普陀	1	6
2022-03-17	黄浦	7	12
2022-03-17	徐汇	8	27
2022-03-17	静安	1	3
2022-03-17	虹口	1	6
2022-03-17	杨浦	0	2
2022-03-17	长宁	0	1
2022-03-17	浦东	25	11
2022-03-17	嘉定	5	30
2022-03-17	松江	0	10
2022-03-17	闵行	4	79
2022-03-17	宝山	5	9
2022-03-17	青浦	0	1
2022-03-17	奉贤	0	2
2022-03-17	金山	0	1
2022-03-17	崇明	0	3
2022-03-18	普陀	0	23
2022-03-18	黄浦	0	15
2022-03-18	徐汇	1	39
2022-03-18	静安	0	12
2022-03-18	虹口	0	19
2022-03-18	杨浦	0	8
2022-03-18	长宁	0	7
2022-03-18	浦东	2	65
2022-03-18	嘉定	0	44
2022-03-18	松江	1	12
2022-03-18	闵行	1	58
2022-03-18	宝山	1	26
2022-03-18	青浦	0	16
2022-03-18	奉贤	0	7
2022-03-18	金山	2	15
2022-03-18	崇明	0	0
2022-03-19	普陀	0	25
2022-03-19	黄浦	0	36
2022-03-19	徐汇	0	61
2022-03-19	静安	0	15
2022-03-19	虹口	1	6
2022-03-19	杨浦	0	14
2022-03-19	长宁	0	12
2022-03-19	浦东	8	127
2022-03-19	嘉定	2	79
2022-03-19	松江	0	16
2022-03-19	闵行	4	49
2022-03-19	宝山	1	16
2022-03-19	青浦	0	5
2022-03-19	奉贤	0	6
2022-03-19	金山	0	3
2022-03-19	崇明	1	22
2022-03-20	普陀	0	18
2022-03-20	黄浦	2	40
2022-03-20	徐汇	1	45
2022-03-20	静安	0	32
2022-03-20	虹口	0	12
2022-03-20	杨浦	0	8
2022-03-20	长宁	1	12
2022-03-20	浦东	1	219
2022-03-20	嘉定	1	39
2022-03-20	松江	0	9
2022-03-20	闵行	18	247
2022-03-20	宝山	0	13
2022-03-20	青浦	0	4
2022-03-20	奉贤	0	13
2022-03-20	金山	0	11
2022-03-20	崇明	0	12
2022-03-21	普陀	1	30
2022-03-21	黄浦	0	49
2022-03-21	徐汇	4	126
2022-03-21	静安	0	44
2022-03-21	虹口	0	23
2022-03-21	杨浦	0	10
2022-03-21	长宁	0	26
2022-03-21	浦东	6	163
2022-03-21	嘉定	5	98
2022-03-21	松江	1	38
2022-03-21	闵行	10	112
2022-03-21	宝山	0	67
2022-03-21	青浦	0	5
2022-03-21	奉贤	1	21
2022-03-21	金山	1	15
2022-03-21	崇明	2	38
2022-03-22	普陀	0	21
2022-03-22	黄浦	0	59
2022-03-22	徐汇	2	85
2022-03-22	静安	0	28
2022-03-22	虹口	0	13
2022-03-22	杨浦	0	3
2022-03-22	长宁	0	19
2022-03-22	浦东	0	237
2022-03-22	嘉定	2	109
2022-03-22	松江	0	31
2022-03-22	闵行	0	305
2022-03-22	宝山	0	16
2022-03-22	青浦	0	20
2022-03-22	奉贤	0	8
2022-03-22	金山	0	4
2022-03-22	崇明	0	19
2022-03-23	普陀	0	34
2022-03-23	黄浦	0	20
2022-03-23	徐汇	0	106
2022-03-23	静安	0	48
2022-03-23	虹口	0	26
2022-03-23	杨浦	0	11
2022-03-23	长宁	0	11
2022-03-23	浦东	0	218
2022-03-23	嘉定	1	68
2022-03-23	松江	0	34
2022-03-23	闵行	2	254
2022-03-23	宝山	0	69
2022-03-23	青浦	0	10
2022-03-23	奉贤	1	11
2022-03-23	金山	0	5
2022-03-23	崇明	0	54
2022-03-24	普陀	2	36
2022-03-24	黄浦	0	102
2022-03-24	徐汇	2	165
2022-03-24	静安	8	62
2022-03-24	虹口	0	29
2022-03-24	杨浦	1	20
2022-03-24	长宁	0	59
2022-03-24	浦东	12	181
2022-03-24	嘉定	1	129
2022-03-24	松江	0	92
2022-03-24	闵行	0	490
2022-03-24	宝山	3	84
2022-03-24	青浦	0	13
2022-03-24	奉贤	0	24
2022-03-24	金山	0	12
2022-03-24	崇明	0	82
2022-03-25	普陀	1	8
2022-03-25	黄浦	0	23
2022-03-25	徐汇	1	2
2022-03-25	静安	0	2
2022-03-25	虹口	0	4
2022-03-25	杨浦	0	11
2022-03-25	长宁	0	4
2022-03-25	浦东	31	1883
2022-03-25	嘉定	0	19
2022-03-25	松江	1	14
2022-03-25	闵行	4	202
2022-03-25	宝山	0	4
2022-03-25	青浦	0	13
2022-03-25	奉贤	0	0
2022-03-25	金山	0	1
2022-03-25	崇明	0	41
2022-03-26	普陀	1	68
2022-03-26	黄浦	0	160
2022-03-26	徐汇	5	326
2022-03-26	静安	3	105
2022-03-26	虹口	1	49
